handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_0a08eb6b-e1a7-fde0-60a9-3a2a287c8976,Product,KABLO BAĞI 3.6MM x 15CM SİYAH - 100 ADET,<p>KABLO BAĞI 3.6MM x 15CM SİYAH - 100 ADET</p>,01f459_d22a2fb4ee734cb782efc3abc8a3732f~mv2.jpg,Kablo Bağları,RCW KB-003,Yeni Ürün,62.85,,true,PERCENT,0.0,34500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_996c775e-cea2-1358-6696-12e76c051c51,Product,KABLO BAĞI 2.5MM x 10 CM BEYAZ - 100 ADET,<p>KABLO BAĞI&nbsp;2.5MM&nbsp;x 10 CM BEYAZ - 100 ADET</p>,01f459_25623f0689f9459e9b864cf9ea9f9354~mv2.jpg,Kablo Bağları,RCW KB-002,Yeni Ürün,23.45,,true,PERCENT,0.0,29500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_b23d04bd-1bee-755e-600f-a961c537b6ec,Product,KABLO BAĞI 2.5 MM  10 CM SİYAH - 100 ADET,<p>KABLO BAĞI 2.5 MM 10 CM SİYAH<br><br>PAKETİ 100 ADET</p>,01f459_81be15506bab4bafb7f22c751ca20f3a~mv2.jpg,Kablo Bağları,RCW KB-001,Yeni Ürün,23.45,,true,PERCENT,0.0,34500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_691deced-4622-51f6-8417-dfaa69dee7b4,Product,PEUGEOT - CITROEN BAGAJ AÇMA BUTONU,<p><strong>•</strong> Bagaj Açma Butonu&nbsp;<br><strong>•</strong> Peugeot &gt; 207 - 308 - 3008&nbsp;<br><strong>•</strong> Cıtroen &gt; C2 - C4 - C5&nbsp;<br><strong>•</strong> OEM 6490R3</p>,01f459_196c71629ce140e1abf6097ba2dcce30~mv2.jpg,Kategori 1;PEUGEOT;Bagaj Butonları;Yeni Ürünler;YENİ ÜRÜNLER 5,RCW 158 > OEM 6490R3,,445.4,,true,PERCENT,0.0,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_77fd3b3d-a64c-abd1-f8b9-83c1bbafe79c,Product,FORD BAGAJ KAPAK AÇMA BUTONU,<p><strong>•</strong> Bagaj Kapak Açma Butonu&nbsp;<br><strong>•</strong> Ford &gt; Focus 2 03 &gt; 11 - Focus 2 - C Max 04 &gt; 11 - Fıesta 08 &gt; - Kuga 08&nbsp;<br><strong>•</strong> OEM&nbsp;&nbsp;3M519B514 AC - 1346324</p>,01f459_2ad08d876d4a4652bb95598c60d74d59~mv2.jpg,Kategori 1;FORD;Bagaj Butonları;Yeni Ürünler;YENİ ÜRÜNLER 5,RCW 157 > OEM  3M519B514 AC - 1346324,YENİ,367.95,,true,PERCENT,0.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c113ca10-347c-2f33-7516-20cf10a31f01,Product,RENAULT BAGAJ KAPAK BUTONU,<p><strong>•</strong> Bagaj Kapak Butonu&nbsp;<br><strong>•</strong> Renault &gt; Captur 13 &gt; Captur 2&nbsp; 20 &gt; Clıo 3&nbsp; 05 &gt; Clıo 4 12 &gt; Fluence 1&nbsp;<br><strong>•</strong> OEM 8200385515</p>,01f459_fd1d880ef8d64a01992c6353e6379a6d~mv2.jpg,Bagaj Butonları;RENAULT;Yeni Ürünler;YENİ ÜRÜNLER 4,RCW 156 > OEM 8200385515,YENİ,381.6,,true,PERCENT,0.0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d105d950-2f33-0558-77e5-8c96d8fe183c,Product,FORD ÖN SOL KAPI KİLİT,<p><strong>•</strong>Ön Sol Kapı Kilit&nbsp;<br><strong>•</strong> Ford &gt; Focus 11 &gt; 15<br><strong>•</strong> OEM&nbsp;&nbsp;BM5A-A21813</p>,01f459_96774e4aaa9744f1990b8b57eb9c5db9~mv2.jpg,Araç Kapı Kilitleri;FORD;Yeni Ürünler;YENİ ÜRÜNLER 4,RCW 155 > OEM  BM5A-A21813,YENİ,1188.8,,true,PERCENT,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_66206b40-ece7-ad08-411c-a86ec94e8aed,Product,FORD KAPI KİLİDİ ARKA SAĞ 6 PIN,<p>Kapı Kilidi Arka Sağ 6 Pın<br>Ford &gt; Focus 2 C - Max&nbsp;<br>OEM&nbsp;&nbsp;4M5A-A26412</p>,01f459_2860cde90a7445319aa741fbd54a3c56~mv2.jpg,Kapı Kilitleri;FORD;Yeni Ürünler;YENİ ÜRÜNLER 4,RCW 154 > OEM  4M5A-A26412,YENİ,1188.8,,true,PERCENT,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_71edbef0-9732-527f-49b3-1aeb9974eed2,Product,FORD KAPI KİLİDİ ARKA SOL 6 PIN,<p><strong>•</strong> Kapı Kilidi Arka Sol 6 Pın<br><strong>•</strong> Ford &gt; Focus 2 C- Max 04 &gt;<br><strong>•</strong> OEM &nbsp;4M5A-A26413</p>,01f459_6a68ed87f35d4fe7af06764047cec463~mv2.jpg,YENİ ÜRÜNLER 4;FORD;Yeni Ürünler;Araç Kapı Kilitleri;Kapı Kilitleri,RCW 153 > OEM  4M5A-A26413,RCW 153,1188.8,,true,PERCENT,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_02cb1350-75e9-518e-c72a-2c804e3b62c9,Product,FORD KAPI KİLİDİ ÖN SAĞ,<p>• Kapı Kilidi Ön Sağ&nbsp;<br>• Ford &gt; Focus 2 C Max 04 &gt;<br>• OEM &nbsp;3M5A-R21812&nbsp;&nbsp;</p>,01f459_d1ed1ac0bc7a4cfa8369f4b6e2cc202e~mv2.jpg,FORD;YENİ ÜRÜNLER 3;Yeni Ürünler;Araç Kapı Kilitleri;Kapı Kilitleri,RCW 152 > OEM  3M5A-R21812,EN YENİLER,1188.8,,true,PERCENT,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f4d94f4b-4c2a-7ac4-7dca-5f80e40054b6,Product,FORD ÖN KAPI KİLİDİ SOL,<p><strong>•</strong> Ön Kapı Kilidi Sol&nbsp;<br><strong>•</strong> Ford &gt; Focus 05 &gt;<br><strong>•</strong> OEM &nbsp;3M5A-R21813</p>,01f459_6cc4599821914d349ecea0addfb07db4~mv2.jpg,FORD;YENİ ÜRÜNLER 3;Yeni Ürünler;Araç Kapı Kilitleri;Kapı Kilitleri,RCW 151 > OEM  3M5A-R21813,EN YENİLER,1188.8,,true,PERCENT,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7aba33b1-3270-f995-4b73-5831a152954d,Product,AUDI BAGAJ KİLİDİ,<p><strong>•</strong> Bagaj Kilidi&nbsp;<br><strong>•</strong> Audı &gt; A3 04&gt;13 A4 A6 05&gt;08 Q7 07&gt;09 TT 07&gt;14<br><strong>•</strong> OEM&nbsp;8P4827505C</p>,01f459_c31f736fec6f4371bf264a3b123c1850~mv2.jpg,YENİ ÜRÜNLER 3;Yeni Ürünler;Araç Kapı Kilitleri;Bagaj Kapı Kilitleri;AUDI,RCW 150 > OEM 8P4827505C,EN YENİLER,1516.3,,true,PERCENT,0.0,OutOfStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_16be5434-e0dd-52bc-7b40-1c64c77e3632,Product,SKODA ARKA BAGAJ KİLİDİ,<p><strong>•</strong> Arka Bagaj Kilidi&nbsp;<br><strong>•</strong> Skoda &gt; Octavıa 04 &gt;<br><strong>•</strong> OEM &nbsp;1Z5827501D</p>,01f459_4189c5251c694cb3b95b3de83ccca0f0~mv2.jpg,SKODA;Bagaj Kapı Kilitleri;Yeni Ürünler;YENİ ÜRÜNLER 3,RCW 149 > OEM  1Z5827501D,EN YENİLER,782.75,,true,PERCENT,0.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3bc89cf4-ed9b-598d-0103-61f1d9f74ac7,Product,VOLKSWAGEN / SEAT / SKODA KAPI KİLİDİ ÖN SAĞ,<p>Kapı Kilidi Ön Sağ&nbsp;<br>Volkswagen &gt; Passat - Tıguan Q7&nbsp;<br>Skoda &gt;&nbsp; SuperB 06 &gt; 15<br>Seat &gt; Ibıza<br>OEM &nbsp;3C1837016A</p>,01f459_d14e3e6f4e1b45398622ea843ff12386~mv2.jpg,SKODA;YENİ ÜRÜNLER 2;Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;YENİ ÜRÜNLER 5;Kapı Kilitleri,RCW 148 > OEM  3C1837016A,EN YENİLER,1677.3,,true,PERCENT,0.0,OutOfStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7e2f6ee7-4d88-e921-eb0a-b85602221249,Product,VOLKSWAGEN / SEAT / SKODA KAPI KİLİDİ ÖN SOL,<p>Kapı Kilidi Ön Sol&nbsp;<br>Volkswagen &gt; Passat - Tıguan Q7 -&nbsp;<br>Skoda &gt;&nbsp; SuperB 06 &gt; 15<br>Seat &gt;Ibıza<br>OEM &nbsp;3C1837015A</p>,01f459_22598f7078c24470be048e3fa25ade16~mv2.jpg,SKODA;YENİ ÜRÜNLER 2;Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;Kapı Kilitleri,RCW 147 > OEM  3C1837015A,EN YENİLER,1677.3,,true,PERCENT,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_19c12ed0-07f8-f750-d6df-609477fda72b,Product,VOLKSWAGEN / SEAT ARKA BAGAJ KİLİDİ,<p>Arka Bagaj Kilidi&nbsp;<br>Volkswagen &gt;&nbsp; Golf 6 - Tıguan - Polo - Golf 7&nbsp;<br>Seat &gt; Leon<br>OEM &nbsp;1P0827505D</p>,01f459_3aff06c23ab94866a13fc9ffa614e6b6~mv2.jpg,YENİ ÜRÜNLER 2;Yeni Ürünler;Bagaj Kapı Kilitleri;SEAT;VOLKSWAGEN,RCW 146 > OEM  1P0827505D,EN YENİLER,791.7,,true,PERCENT,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3595082e-f9be-4497-f53f-93ab31cfdf36,Product,VOLKSWAGEN / SEAT KAPI KİLİT MEKANİZMASI ARKA SAĞ,<p><strong>•</strong> Kapı Kilit Mekanizması Arka Sağ&nbsp;<br><strong>•</strong> Volkswagen &gt; Golf 6 - Golf 7 Polo 13 &gt; 18 - Jetta 15 &gt; 18 Tıguan 18 &gt;<br><strong>•</strong> Seat &gt; Leon 13 &gt;<br><strong>•</strong> OEM &nbsp;5K4839016M</p>,01f459_abeb0ccb81f74307bd74d6f0b8b68b6d~mv2.jpg,YENİ ÜRÜNLER 2;Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;Kapı Kilitleri,RCW 145 > OEM  5K4839016M,EN YENİLER,1181.8,,true,PERCENT,0.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_79474799-af83-36a5-bddb-1a70ebbdb2d9,Product,VOLKSWAGEN / SEAT KAPI KİLİT MEKANİZMASI ARKA SOL,<p>Kapı Kilit Mekanizması Arka Sol&nbsp;<br>Volkswagen &gt; Golf 6 - Golf 7 - Polo 13 &gt; 18 - Jetta 15 &gt; 18 - Tıguan 18 &gt;<br>Seat &gt; Leon 13 &gt;<br>OEM &nbsp;5K4839015M</p>,01f459_52a80270d8804fcdbbf5ae6954f83489~mv2.jpg,YENİ ÜRÜNLER 2;Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;Kapı Kilitleri,RCW 144 > OEM  5K4839015M,EN YENİLER,1181.8,,true,PERCENT,0.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9125051f-6a00-9bf9-a38c-5b6152f4d216,Product,VOLKSWAGEN / SEAT KAPI KİLİDİ SAĞ ARKA,<p><strong>•</strong> Kapı Kilidi Sağ Arka&nbsp;<br><strong>•</strong> Volkswagen &gt;&nbsp; Golf 5 - 6 04 &gt;14 - Jetta 06 &gt; 10 - Touran 03 &gt; 15 - Touareg 03 &gt; 10<br><strong>•</strong> Seat &gt; Altea 04 &gt; 06 - Toledo 05 &gt; 09<br><strong>•</strong> OEM &nbsp;7L0839016A</p>,01f459_d634e427b7d24f87b87090fc20a98b16~mv2.jpg,Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;Kapı Kilitleri,RCW 143 > OEM  7L0839016A,EN YENİLER,1199.3,,true,PERCENT,0.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5ac0f9c2-22ef-fb3b-a38f-11cb2c6ec049,Product,VOLKSWAGEN / SEAT / SKODA KAPI KİLİDİ SAĞ ARKA,<p>Kapı Kilidi Sağ Arka&nbsp;<br>Volkswagen &gt; Golf 4 - Bora 98 &gt; 01 - Passat 97 &gt; 02&nbsp;<br>Skoda &gt; Octavıa 97 &gt; 00<br>Seat &gt; Leon 00 &gt; 06 - Toleda 99 &gt; 04&nbsp;<br>OEM &nbsp;3B4839016</p>,01f459_9f8c7860216d475fb3c18f66ab9ef028~mv2.jpg,SKODA;Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;Kapı Kilitleri,RCW 142 > OEM  3B4839016,EN YENİLER,1188.8,,true,PERCENT,0.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_423632b4-76c8-be8c-1305-cce38900e29c,Product,VOLKSWAGEN /SEAT / SKODA KAPI KİLİT MEKANİZMASI ARKA SOL,<p><strong>•</strong> Kapı Kilit Mekanizması Arka Sol&nbsp;<br><strong>•</strong> Volkswagen &gt; Polo 02 &gt; 05<br><strong>•</strong> Seat &gt; Cordoba 03 &gt; 09 - Ibıza 02 &gt; 10<br><strong>• </strong>Skoda &gt; Fabıa 00 &gt; 04<br><strong>•</strong> OEM CODE 3B4839015</p>,01f459_2b69859685ce470ea361bc318aca60d1~mv2.jpg,SKODA;Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;Kapı Kilitleri,RCW 141 > OEM CODE 3B4839015,EN YENİLER,1188.8,,true,PERCENT,0.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0694f167-4424-a878-044b-94203cc06b68,Product,VOLKSWAGEN / SEAT KAPI KİLİDİ SOL ARKA,<p><strong>•</strong> Kapı Kilidi Sol Arka&nbsp;<br><strong>•</strong> Volkswagen &gt; Golf 5 - 6 04 &gt; 14 - Jetta 06 &gt; 10 - Touran 03 &gt; 15 - Touareg 03 &gt; 10<br><strong>•</strong> Seat &gt; Altea 04 &gt; 06 - Toleda 05 &gt; 09<br><strong>•</strong> OEM&nbsp;&nbsp;7L0839015 - 7L0839015D</p>,01f459_c629f9b733dc4ef3a3493e7e85bcf84f~mv2.jpg,Yeni Ürünler;Araç Kapı Kilitleri;SEAT;VOLKSWAGEN;Kapı Kilitleri,RCW 140 > OEM  7L0839015 - 7L0839015D,EN YENİLER,1226.5,,true,PERCENT,0.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
